"Case","Steady_State","Anode_Out_Flow","Anode_Out_H2_mole_frac","Anode_Out_N2_mole_frac","Anode_Out_H2Ovap_mole_frac","Anode_Out_H2Oliq_mole_frac","Anode_Out_RH","Anode_Out_Temperature","Anode_Out_Dew_Temperature","Anode_In_Pressure","Anode_Lambda","Cathode_Out_Flow","Cathode_Out_O2_mole_frac","Cathode_Out_N2_mole_frac","Cathode_Out_H2Ovap_mole_frac","Cathode_Out_H2Oliq_mole_frac","Cathode_Out_RH","Cathode_Out_Temperature","Cathode_Out_Dew_Temperature","Cathode_In_Pressure","Cathode_Lambda","Coolant_Out_Flow","Coolant_Out_Temperature","Coolant_In_Pressure","Membrane_Humidity","Membrane_Water_Content_Average","Hydrogen_Crossover","Oxygen_Crossover","Nitrogen_Crossover","Water_Crossover","Voltage","Voltage_Loss_Activation","Voltage_Loss_Transport","Voltage_Loss_Ohmic","Electrical_Power","Fuel_Power","Fuel_Efficiency"
14,0.0,1.1180503,0.7474328,0.04749223,0.13841915,0.066655815,1.0,70.7347,70.7347,2.1968884,3.3917103,7.286519,0.115203954,0.7147276,0.17006847,0.0,0.8944283,72.909325,70.569786,1.927508,2.4618607,68.95218,71.59313,1.4432744,0.76860756,8.448295,0.008426483,0.06681056,0.019813158,1.5829146,398.394,10.954521,0.090416566,3.0777454,7.9678802,12.424644,0.64304847
15,0.0,3.1213255,0.3710389,0.20425127,0.18019222,0.2445176,1.0,70.362206,70.362206,1.3620055,2.743316,7.8792734,0.09661646,0.70794886,0.19543466,0.0,0.87947375,71.11437,68.069725,1.4939027,2.0690682,62.766167,70.10497,2.0741458,0.66883653,6.3199124,0.0035160834,0.027877769,0.010505756,0.30228966,385.77246,16.450432,0.14382131,4.054773,7.7154493,11.835691,0.6505818
16,0.0,2.7287529,0.1732259,0.055056207,0.02621393,0.74550396,1.0,59.635155,59.635155,1.91246,1.6002723,11.267073,0.13892336,0.74733806,0.113738604,0.0,0.61350787,62.65722,52.26339,1.2368462,3.3240528,70.09201,63.792168,1.4353261,0.37789044,3.078845,0.003628077,0.028765725,0.0056848605,2.8633585,379.21368,27.244764,0.05399296,7.113638,7.584274,11.849124,0.64005613
17,1.0,1.5793848,0.6418007,0.24485023,0.11334904,0.0,0.7708869,62.177025,56.465477,1.5377213,3.016575,10.820641,0.106348775,0.6180113,0.27563995,0.0,0.9239869,69.36715,67.30779,1.0498567,2.8228517,65.91675,65.72146,1.6388323,0.88647497,9.677835,0.0041933474,0.033247553,0.0050695683,-0.38840997,380.25485,26.915361,0.19406605,2.4652736,7.605097,11.916922,0.63849723
18,0.0,2.354856,0.62331045,0.08773774,0.062110137,0.22684164,1.0,57.504723,57.504723,2.2597766,4.1759086,4.804524,0.0635956,0.8265649,0.109801695,3.7772363E-5,0.89368165,64.10952,61.788292,1.990585,1.4155382,68.42469,64.38662,1.3715757,0.6110273,6.3196516,0.0055559725,0.044051316,0.014184093,0.5284295,385.979,25.15497,0.18076411,5.840947,7.7195797,12.080356,0.6386259
19,0.0,1.227411,0.4287054,0.104182675,0.06837516,0.39873677,1.0000004,66.35476,66.35476,2.3880951,1.8456646,5.648223,0.08002463,0.79964197,0.12033338,0.0,0.8051374,68.362785,63.27926,1.9915614,1.5847907,72.32,68.11614,2.4211333,0.5956496,6.1434717,0.0066669425,0.0528598,0.015753265,0.39409488,392.01566,16.993225,0.16079925,5.0790286,7.840313,12.213605,0.64103717
20,0.0,1.7038788,0.22939721,0.17145649,0.07421151,0.5249348,1.0000005,72.14266,72.14269,2.2302513,1.450005,5.5029716,0.06516372,0.7198977,0.2149371,1.4918992E-6,0.7930996,72.16088,66.73199,1.3192979,1.5081538,67.01079,70.89452,1.9734026,0.565969,4.992037,0.005376241,0.04262629,0.0068940995,0.6174558,382.98953,19.605085,0.17593996,5.392048,7.659791,12.058799,0.63460565
21,1.0,0.8890021,0.5342897,0.35800844,0.10770186,0.0,0.7351496,61.14248,54.282555,1.4565471,1.7045982,15.857744,0.13341652,0.6527092,0.21387433,0.0,0.72365797,68.70284,61.39971,1.0486546,4.295155,74.24721,64.65218,1.4740081,0.7948033,7.244777,0.0031011172,0.024587648,0.0032853102,-0.11442015,379.85544,26.740963,0.1616905,3.186348,7.597109,11.78592,0.6450853
22,0.0,0.47982395,0.27964023,0.048540853,0.048828155,0.6229908,0.999999,62.139458,62.139458,1.7308282,1.2195985,5.889736,0.09801372,0.80477595,0.09721014,1.9018498E-7,0.5770008,65.42147,53.522026,1.6651901,1.8468403,78.33996,65.64556,2.0689156,0.27190477,2.7682302,0.0036645718,0.02905508,0.00931813,0.62676764,380.25418,21.520378,0.14309369,9.505014,7.6050835,11.8535,0.6417162
23,0.0,1.6541754,0.5902083,0.010206912,0.04351209,0.3560727,1.0000005,47.792137,47.792137,1.6537701,3.350903,12.161412,0.15369822,0.78763986,0.05866192,0.0,0.63754135,60.144493,50.616325,2.1099436,3.7223945,62.070385,60.81054,2.2832456,0.37691644,3.1638803,0.0032878018,0.026067805,0.010307713,0.93718916,387.49072,24.01042,0.10225072,7.380817,7.7498145,11.8083105,0.65673804
24,0.0,0.93777996,0.38818216,0.13727039,0.08497336,0.38957408,1.0000001,68.54403,68.54403,2.1293626,1.5236131,8.552218,0.1162632,0.74916697,0.13456985,0.0,0.83549577,69.76403,65.24203,1.9824402,2.371447,73.2736,69.3041,2.0051632,0.622852,6.2106276,0.006268406,0.049699947,0.015263793,0.13279098,395.72498,13.099756,0.12575983,4.306505,7.9144993,12.165805,0.6499556
25,0.0,1.0790411,0.32537115,0.032844145,0.028992571,0.61279213,1.0,47.482414,47.482414,1.4637471,1.5689908,3.9866107,0.068203576,0.87304115,0.058755293,2.6117393E-9,0.5143149,55.67733,42.68093,1.4307197,1.4167008,79.82669,57.106285,2.1511447,0.23127992,2.2812397,0.0021288113,0.016878584,0.0055605005,0.94745934,363.0073,40.90626,0.14876898,11.480065,7.260146,11.669302,0.622717
26,0.0,0.52905995,0.9165369,0.015424669,0.06803843,0.0,0.81673604,57.62429,53.24508,2.182149,3.7700503,6.743406,0.03564795,0.44782814,0.13487567,0.38164824,0.99162453,63.35482,63.178276,1.1159441,1.4304723,75.80546,63.876488,2.0260742,0.76121765,6.435918,0.0053835534,0.042684272,0.008892976,-0.17050803,368.14465,44.931484,-1.7987654,3.8019373,7.3628926,12.059675,0.6106763
27,1.0,0.92909324,0.47818074,0.0218869,0.117950425,0.38198194,1.0,65.76577,65.76577,1.3824278,1.8674825,17.874367,0.1552536,0.7233667,0.121379696,0.0,0.74227494,69.73324,62.65673,1.9119339,5.125958,60.704254,66.61431,1.7940739,0.54523396,4.2718186,0.004048693,0.03210064,0.014403652,0.53726095,394.96088,12.635765,0.09631383,4.945066,7.8992176,11.899572,0.6639723
28,0.0,1.2710841,0.13215895,0.026180081,0.017513704,0.8241473,1.0,59.398186,59.398186,1.9574312,1.2119176,9.55813,0.12812659,0.74305534,0.12881806,0.0,0.84125596,61.724236,57.978996,1.4458091,2.8261833,74.07995,63.027184,2.2925901,0.48946255,4.6257086,0.004335004,0.034370694,0.0083333105,1.6065563,382.44205,27.263092,0.125291,5.812623,7.6488414,11.933912,0.6411284
29,1.0,3.1216636,0.4651424,0.15657549,0.14083156,0.23745057,0.9999998,69.32009,69.32009,1.6645944,3.318748,18.537857,0.15078408,0.7010607,0.14815521,0.0,0.7718531,69.97225,63.653343,1.6558511,5.1620326,65.51183,68.41683,1.3559767,0.69072336,5.863121,0.0046164882,0.036602486,0.011195344,1.4468038,393.85992,13.449034,0.07455487,3.6622984,7.8771987,11.967673,0.65822136
30,1.0,0.78229237,0.79898876,0.110573426,0.0904378,0.0,0.6776603,63.31417,54.85888,1.7812346,2.9370775,13.347405,0.12327023,0.6444626,0.23226719,0.0,0.7827629,69.23818,63.38085,1.0575047,3.5391989,71.03788,66.13122,2.4197574,0.7665937,6.513542,0.004771965,0.037835203,0.006607439,-0.18696398,383.64603,25.315853,0.17124355,3.3159273,7.6729207,11.986321,0.64041823
31,1.0,0.8602003,0.25565115,0.03244771,0.051855214,0.6600459,0.9999994,70.320335,70.320305,2.0886428,1.2701153,8.934932,0.11277762,0.7055557,0.18165205,1.4633166E-5,0.9687617,71.86947,71.20959,1.8366758,2.4902112,70.86427,70.84408,1.8763375,0.64255387,6.7763786,0.0071206456,0.05645705,0.016829835,0.69040024,395.6327,12.714196,0.13062267,4.041003,7.912654,12.268023,0.6449472
32,0.0,0.653153,0.81013244,0.023503963,0.16636358,0.0,0.69573486,78.153496,69.73293,1.8690722,2.9685316,4.41225,0.018035635,0.591494,0.3899636,5.067736E-4,0.9898799,76.66506,76.40267,1.0792943,1.1263462,78.353836,74.44872,1.8098539,0.90193766,10.842513,0.0072540496,0.057514764,0.011375151,-0.116107486,370.16074,30.006708,0.48285598,4.261521,7.4032145,12.284022,0.6026506
33,1.0,3.2820227,0.48518175,0.26914677,0.06787516,0.17779632,1.0,58.890892,58.890892,2.3232427,3.5018299,10.2407255,0.12338845,0.705562,0.17104957,0.0,0.74601,66.378136,60.256126,1.2043929,2.9088585,63.663677,65.35259,2.165334,0.73934066,6.7761836,0.0048279376,0.03827899,0.0024818487,1.0019518,383.67252,26.95204,0.123824134,3.624919,7.6734505,11.993034,0.64009905
34,0.0,0.93427837,0.15102392,0.073216364,0.021401089,0.7543586,1.0,57.34475,57.34475,2.0541751,1.1298008,4.809927,0.07500887,0.7941455,0.13084559,7.1936945E-10,0.8403844,60.34362,56.234,1.3127795,1.554849,74.41039,61.483116,2.4789336,0.360858,3.67647,0.0036853584,0.02921989,0.0061674435,1.2997923,369.9821,34.786182,0.14494617,8.479028,7.399642,11.855994,0.62444645
35,0.0,1.2952167,0.29552984,0.085054785,0.09385731,0.52555805,1.0000007,64.833305,64.833336,1.2914021,1.5076922,9.664615,0.12881878,0.75178134,0.1193999,0.0,0.8122387,67.26345,62.571312,1.9739491,2.802097,71.71891,67.366264,2.052522,0.5693164,5.7571983,0.0038205648,0.03029189,0.014896776,0.51118267,390.87506,15.155732,0.12093625,4.655157,7.817501,11.8722105,0.65750027
36,1.0,0.86830944,0.6293115,0.010474867,0.0925004,0.2677132,1.0,61.967003,61.967003,1.7417803,2.4168725,14.292386,0.14256236,0.7111736,0.14626405,0.0,0.88106805,68.23217,65.14504,1.7760351,4.0329595,70.7234,65.75326,1.5407209,0.67114866,6.2233343,0.005334604,0.042296167,0.014503181,0.40670028,394.36716,16.913395,0.12185483,3.9610195,7.8873434,12.053804,0.65460944
37,1.0,1.3651081,0.3777912,0.060667694,0.046755772,0.51478535,1.0000001,61.71145,61.71145,2.245248,1.8988755,17.584927,0.15583438,0.7302405,0.11392511,0.0,0.6715367,68.340324,59.672203,1.7520181,5.029946,75.441185,63.465935,1.8639042,0.55517465,4.1749234,0.005235913,0.04151368,0.010408406,1.132836,394.05063,17.77136,0.10654161,5.0587893,7.8810124,12.041967,0.6549538
38,0.0,1.1935306,0.18244791,0.037286576,0.042350195,0.73791534,1.0,63.893456,63.893456,1.5094366,1.2853342,6.9404535,0.103928395,0.75616646,0.13987713,2.804382E-5,0.881895,67.162834,64.22317,1.7961291,2.066759,65.941986,66.76626,2.4808555,0.4748021,5.0239935,0.004030617,0.03195732,0.012662558,0.90779513,386.22864,18.826962,0.13943712,5.9525576,7.724573,11.897404,0.64895743
39,0.0,1.1501194,0.6675892,0.0605847,0.12009951,0.1517266,0.9999995,61.208946,61.208946,1.5165561,2.9833217,6.183544,0.113648236,0.7797517,0.106600024,0.0,0.8086317,64.794304,60.484734,1.9462278,2.188295,74.32003,65.6361,2.2454987,0.67846507,7.0645285,0.0045887437,0.036382508,0.015596115,1.1799024,391.03482,18.771002,0.109187946,4.2424364,7.820697,11.964346,0.6557893
40,0.0,1.475213,0.32909855,0.1089783,0.08573522,0.47618794,1.0000006,61.54751,61.54754,1.3344151,1.7537373,4.407783,0.07998147,0.749434,0.1704774,1.0716472E-4,0.90216726,66.536,64.16216,1.4665874,1.6684505,62.7217,66.331535,1.9303055,0.48936898,5.10369,0.0031980332,0.02535606,0.009675093,1.358051,379.0215,24.295422,0.11548127,6.2464595,7.58043,11.7975445,0.6445649
41,1.0,0.030148925,0.86956865,0.074171774,0.056259602,0.0,0.27465504,77.675255,49.331566,2.141619,1.0547667,14.011554,0.123696305,0.63962615,0.23667756,0.0,0.86644495,69.58758,65.9399,1.1591045,3.643716,66.72077,67.300835,1.7459952,0.81683975,7.720985,0.006063916,0.04807862,0.0060961396,-0.07263324,387.45312,22.348858,0.163669,2.866643,7.749062,12.141278,0.6384221
42,0.0,0.89915025,0.13798766,0.021982312,0.029403675,0.8106264,1.0,66.37759,66.37759,1.7529366,1.1646811,9.479662,0.121673696,0.7179941,0.16033223,0.0,0.7258162,69.18929,61.80996,1.3891448,2.738756,66.68781,68.50317,2.582688,0.38851455,3.275011,0.0042711026,0.033864044,0.009051813,1.1629189,385.18982,18.947412,0.13774322,6.7231574,7.7037964,11.926248,0.6459908
43,0.0,1.8637817,0.22340412,0.09843276,0.046749767,0.63141334,0.99999917,68.68246,68.68243,2.3493783,1.4999347,8.081275,0.10819658,0.71928596,0.17251745,2.111997E-8,0.94504774,70.00741,68.48696,1.7286748,2.2688863,65.802315,69.157616,2.0088282,0.60767543,6.2956896,0.006538843,0.051844146,0.011565044,1.1065702,392.61325,15.547841,0.127716,4.3970857,7.8522654,12.198241,0.6435468
44,0.0,0.9187824,0.4877976,0.012238427,0.10595373,0.39401025,0.9999995,74.279564,74.27953,2.193796,1.8170696,14.748858,0.14250298,0.70676064,0.15073636,0.0,0.7487117,74.731224,68.1339,1.941905,4.0402517,78.03099,72.91546,1.4296654,0.5062426,3.95788,0.0068530105,0.054335065,0.016850073,0.1390072,399.7452,8.190081,0.07873231,4.953513,7.9949045,12.235922,0.65321964
45,1.0,0.25074244,0.81322116,0.12607197,0.060706872,0.0,0.35882133,69.517784,47.546165,1.8202107,1.6643997,11.089804,0.12477882,0.6905523,0.18466888,0.0,0.7084816,69.693596,61.700737,1.2088807,3.0964236,74.913414,68.89315,2.3009882,0.57309234,4.2472486,0.0045390385,0.035988413,0.007791454,-0.07765274,387.91006,19.185268,0.14959987,5.014447,7.758201,11.9583845,0.64875174
46,0.0,2.8216126,0.37578604,0.01978,0.030202135,0.5742318,0.9999992,52.33242,52.33239,2.0001721,2.7913206,10.30087,0.14484425,0.7763847,0.07877105,5.5662446E-17,0.7815152,59.272118,53.694542,1.7521119,3.346314,74.86389,60.786095,1.6031902,0.42474088,3.6992047,0.0039959424,0.0316824,0.008995288,2.6263592,385.47437,26.142221,0.03990991,6.8567023,7.7094874,11.893246,0.6501027
47,0.0,0.5399648,0.38186207,0.07536767,0.08208089,0.46068937,0.99999964,70.83547,70.83547,2.1507692,1.2840267,7.9716816,0.11835034,0.7506371,0.13086678,1.4577202E-4,0.85946983,72.154686,68.766655,2.1510143,2.4268186,63.682022,71.28954,1.6996883,0.38927132,3.2975833,0.0059382934,0.047082603,0.016162468,0.5417746,396.72772,9.442366,0.09346461,5.8792005,7.934554,12.126211,0.655407
48,0.0,0.62234575,0.47478223,0.04478758,0.11933176,0.36109844,1.0000001,74.574455,74.574455,2.0785692,1.5180347,5.7950764,0.0665481,0.66759324,0.26585865,3.3126783E-12,0.9004446,73.548485,71.27837,1.2646959,1.5937394,60.282146,72.2365,2.039536,0.619682,5.7037253,0.0064236308,0.05093067,0.011255102,0.2811399,385.9957,17.737614,0.18003178,5.1132817,7.719914,12.1844225,0.63348484
49,1.0,2.8085225,0.37538773,0.2209937,0.09160727,0.3120113,0.99999994,69.36108,69.36108,2.3035555,2.4596174,7.313581,0.086687386,0.65671563,0.256597,5.98127E-11,0.9525554,69.88241,68.572624,1.1709253,1.9809622,78.27871,68.61056,2.6596534,0.76092684,8.332893,0.0058919503,0.046715166,0.0029409884,1.1681459,383.383,23.06052,0.14058799,3.6258585,7.66766,12.120652,0.63263357
50,1.0,1.5250882,0.36746913,0.026099877,0.13142623,0.47500476,1.0000005,69.57751,69.57754,1.2365646,1.9269524,12.074438,0.12844399,0.6832561,0.18829992,0.0,0.6549527,70.1137,60.541008,1.1221961,3.384899,67.02063,68.89388,2.2735922,0.5124357,3.816037,0.0031572126,0.025032409,0.0076691555,1.1370542,383.11264,19.641273,0.108705685,5.3428044,7.662253,11.792648,0.6497359
51,0.0,2.6512897,0.6174821,0.16471274,0.07550105,0.1423041,0.99999994,59.410057,59.410057,2.229711,4.207378,10.743396,0.13588935,0.7564452,0.10766544,0.0,0.8348571,64.211174,60.588493,1.9336838,3.0445118,65.30685,65.24407,1.988462,0.82211965,9.172068,0.0065374477,0.051833082,0.013149517,0.52956384,394.95544,19.219616,0.12909444,3.0634887,7.8991094,12.198073,0.6460024
52,1.0,1.6482173,0.3415204,0.085328646,0.12583092,0.44732004,1.0000004,66.76513,66.76513,1.2132361,1.8898739,14.740712,0.1465252,0.71850646,0.13496836,0.0,0.73970336,69.778435,62.61953,1.7175094,4.2536926,66.45074,66.840416,2.5995598,0.59892166,4.875838,0.003407029,0.027013114,0.012525938,1.173051,391.1201,14.1156025,0.09237726,4.374174,7.822402,11.822611,0.6617816
53,1.0,0.558715,0.8616867,0.026830457,0.11148281,0.0,0.6082327,66.398186,55.47561,1.4891615,3.1314032,17.297485,0.1399186,0.6668689,0.19321251,0.0,0.7099363,69.709496,61.751915,1.1766057,4.688845,61.287052,67.4851,1.6167381,0.6864364,5.1833634,0.0041526603,0.032924958,0.0089073265,-0.06600558,387.0888,20.237137,0.14603195,3.9710643,7.7417765,11.912042,0.65002733
54,1.0,1.5541778,0.3403874,0.021653311,0.056777306,0.581182,1.000001,69.00393,69.00396,2.2256658,1.8056782,14.364346,0.14218998,0.711883,0.14592701,0.0,0.8445874,70.3207,66.08129,1.8572581,3.9714742,62.46388,68.86056,1.9100773,0.6259706,5.581744,0.006981476,0.055353627,0.015816232,1.2575253,397.9413,12.684337,0.10123944,4.0468264,7.9588265,12.25133,0.6496373
55,1.0,1.2400935,0.2703514,0.0988577,0.10786581,0.5229251,0.99999976,68.63662,68.63662,1.3227096,1.3953398,13.133236,0.13562602,0.69617426,0.16819973,0.0,0.86151296,70.12005,66.30944,1.6303397,3.6997943,61.938595,68.95666,1.957832,0.5763695,5.0850368,0.0036556523,0.028984359,0.01157002,0.56295997,390.3836,13.879768,0.11664451,4.5683556,7.807672,11.852431,0.65871567
56,1.0,1.4300804,0.3434937,0.043350212,0.07925986,0.5338962,1.0000004,69.72057,69.72057,1.8310053,1.7541722,15.952062,0.14694855,0.7096357,0.14341576,0.0,0.7535822,70.17678,63.36004,1.6826018,4.459728,76.67941,69.54763,1.8422484,0.5489232,4.3446193,0.005181891,0.04108536,0.012605466,1.0657985,394.8006,12.8575945,0.09847969,4.795444,7.896012,12.035488,0.6560257
57,1.0,0.69990486,0.8231091,0.02722962,0.14966129,0.0,0.88287616,68.9811,65.849846,1.7787277,3.120932,9.681527,0.09874455,0.621055,0.28020045,0.0,0.9574176,71.33221,70.45559,1.1641246,2.4722514,75.08314,70.53008,1.593455,0.91497284,10.936244,0.006922988,0.0548899,0.011226508,0.14732306,386.443,21.01897,0.21144374,2.3597481,7.72886,12.244315,0.6311906
58,0.0,1.0097512,0.35652065,0.072881006,0.07135298,0.49924535,1.0000007,61.165794,61.165825,1.4958438,1.5905195,6.1812863,0.10193142,0.77091575,0.1271528,0.0,0.82030535,65.4649,61.298973,1.6163163,1.9897491,66.57602,65.7597,1.6662158,0.3558509,3.0521705,0.0032293706,0.025604524,0.009462328,0.90446615,382.76074,21.762146,0.11442751,7.34064,7.6552153,11.801303,0.65086263
59,1.0,0.22966674,0.74653125,0.12664165,0.12682709,0.0,0.7081398,66.237144,58.877678,1.5139415,1.4303125,10.8039055,0.10684262,0.6232978,0.26985955,0.0,0.94461477,69.32784,67.82949,1.0930516,2.7985713,68.07776,65.881676,2.338713,0.9700231,12.69608,0.005558019,0.044067543,0.008934608,-0.04406974,382.18073,26.65333,0.18293367,1.9607146,7.6436143,12.080601,0.63307136
60,0.0,1.8940686,0.10381599,0.14733818,0.03154559,0.71730024,1.0,56.168755,56.168755,1.5330591,1.2342964,11.344018,0.15626998,0.812078,0.031652037,0.0,0.30123526,61.35894,37.507713,2.0311635,3.5851495,77.06776,62.37536,2.2070665,0.16234307,1.9359623,0.0027948264,0.022159178,0.00813711,1.3131717,378.85724,20.527578,0.04166551,11.365145,7.5771446,11.749184,0.64524335
61,0.0,1.8431238,0.4939353,0.091208726,0.04537783,0.36947817,1.0000004,53.62258,53.62258,2.097866,2.6212556,4.221561,0.054931857,0.8196933,0.12537482,0.0,0.81563467,63.2268,59.05761,1.5218374,1.3480583,61.334145,63.020164,2.514896,0.534076,4.7250896,0.004255712,0.033742018,0.009097428,1.0250957,376.22827,33.336975,0.17324407,6.5630813,7.5245657,11.924402,0.6315751
