"Case","Case_Number","Anode_In_Flow","Anode_In_H2_mole_frac","Anode_In_N2_mole_frac","Anode_In_H2Ovap_mole_frac","Anode_In_H2Oliq_mole_frac","Anode_In_Dew_Temperature","Cathode_In_Flow","Cathode_In_O2_mole_frca","Cathode_In_N2_mole_frac","Cathode_In_H2Ovap_mole_frac","Cathode_In_H2Oliq_mole_frac","Cathode_In_Dew_Temperature","Coolant_In_Flow"
26,1.0,0.7822777,0.89928675,0.009570867,0.09114238,0.0,59.932457,6.56458,0.13541153,0.5079816,0.35660687,0.0,75.31304,75.63692
27,1.0,0.49712166,0.84950954,0.010429579,0.1400609,0.0,59.239677,18.373207,0.19148904,0.71835023,0.09016071,0.0,56.44021,60.56622
28,1.0,0.22041373,0.9302758,0.025393384,0.044330847,0.0,42.928185,11.104425,0.1673884,0.6279393,0.20467234,0.0,68.57925,73.914154
29,1.0,1.7622784,0.74948686,0.1768255,0.073687665,0.0,49.84771,19.909464,0.17278078,0.64816827,0.17905094,0.0,68.62948,65.443504
30,1.0,1.0659876,0.810469,0.07372331,0.11580771,0.0,60.611748,13.0959215,0.18444684,0.6919322,0.12362095,0.0,50.952446,70.90021
31,1.0,0.2150186,0.9418519,0.011199648,0.046948437,0.0,45.385918,9.545302,0.1810288,0.67910975,0.13986143,0.0,65.10934,70.83287
32,1.0,0.86155474,0.83536434,0.013830541,0.15080512,0.0,67.33019,4.182619,0.19046824,0.7145208,0.09501095,0.0,46.198875,78.35239
33,1.0,2.4067237,0.6961237,0.2755611,0.028315216,0.0,37.83996,11.182015,0.1742137,0.6535437,0.1722426,0.0,60.715263,63.50142
34,1.0,0.36519614,0.8431599,0.088382766,0.06845732,0.0,52.25683,6.054404,0.16796765,0.6301123,0.20192006,0.0,65.83788,74.22828
35,1.0,0.588968,0.7849852,0.0718236,0.14319122,0.0,58.087242,10.014099,0.19199738,0.7202572,0.08774543,0.0,56.548943,71.635414
36,1.0,0.5912694,0.8636555,0.0037994033,0.13254511,0.0,62.797234,14.677557,0.19078809,0.7157207,0.09349119,0.0,55.605186,70.525955
37,1.0,0.45412114,0.8964367,0.06107535,0.042487968,0.0,44.88024,18.723188,0.18400565,0.6902771,0.12571724,0.0,61.854088,75.126366
38,1.0,0.3640351,0.84175575,0.02914572,0.12909853,0.0,59.402916,7.739031,0.17919718,0.67223865,0.14856416,0.0,65.99493,65.8186
39,1.0,0.75083715,0.87703466,0.049377907,0.07358745,0.0,47.857964,7.5938253,0.20333044,0.76277196,0.033897623,0.0,37.892662,74.23695
40,1.0,0.8656675,0.72565794,0.0990453,0.17529678,0.0,63.077812,6.0041294,0.18760607,0.7037837,0.108610265,0.0,54.709526,62.596916
41,1.0,0.26397526,0.8826622,0.045329086,0.072008744,0.0,54.046837,13.864601,0.18022557,0.67609656,0.1436779,0.0,55.67028,66.63354
42,1.0,0.3238568,0.83461636,0.0039144005,0.16146924,0.0,67.43539,10.562714,0.1719028,0.6448746,0.1832226,0.0,64.89977,66.59161
43,1.0,0.6329482,0.7914838,0.1198402,0.088676006,0.0,60.793846,9.06968,0.16867363,0.63276076,0.19856563,0.0,71.93575,65.72439
44,1.0,0.47973633,0.85158956,0.003197688,0.14521275,0.0,70.41097,14.780009,0.19379574,0.7270036,0.079200685,0.0,53.992424,78.02642
45,1.0,0.4000732,0.8855299,0.043841917,0.0706282,0.0,50.666405,10.92488,0.19780032,0.7420263,0.060173336,0.0,39.70809,74.87533
46,1.0,0.76873904,0.8457322,0.02607887,0.12818892,0.0,65.07195,13.123851,0.16636047,0.62408316,0.2095564,0.0,73.40969,74.6595
47,1.0,0.27399907,0.90537214,0.029551998,0.065075845,0.0,52.171104,8.520864,0.20405515,0.7654906,0.03045425,0.0,37.75872,63.67358
48,1.0,0.3760726,0.87235,0.021206323,0.10644368,0.0,61.94213,5.975456,0.18530676,0.6951581,0.119535126,0.0,53.646355,60.295864
49,1.0,1.7504126,0.6785204,0.2442291,0.07725053,0.0,57.174095,8.391333,0.15340804,0.5754935,0.27109843,0.0,70.34173,78.2028
50,1.0,0.4582377,0.8754889,0.026133485,0.09837765,0.0,49.664513,13.124064,0.16772048,0.6291851,0.20309441,0.0,62.534386,66.961914
51,1.0,1.9111668,0.7857278,0.1586451,0.05562713,0.0,50.069633,11.085262,0.19362217,0.72635245,0.080025375,0.0,54.11376,65.20749
52,1.0,0.6266059,0.83232176,0.09432625,0.073352,0.0,43.430687,15.867825,0.17836106,0.6691021,0.15253687,0.0,65.56295,66.32397
53,1.0,0.7101621,0.8857978,0.01695891,0.097243294,0.0,52.807854,17.157152,0.18581483,0.6970641,0.11712109,0.0,51.884727,61.217445
54,1.0,0.3103527,0.9382926,0.013034134,0.048673235,0.0,47.248894,15.54928,0.17497978,0.65641755,0.16860269,0.0,70.07647,62.383545
55,1.0,0.7481908,0.7095673,0.08909873,0.20133398,0.0,65.947075,13.611357,0.18287387,0.6860314,0.13109474,0.0,61.273705,61.894398
56,1.0,0.41699538,0.88427246,0.034007933,0.08171962,0.0,53.442284,16.926394,0.17853376,0.6697499,0.15171634,0.0,64.96697,76.65342
57,1.0,0.63160187,0.9158432,0.018661657,0.06549515,0.0,48.730095,9.736289,0.1732966,0.6501033,0.1766001,0.0,60.549248,75.06297
58,1.0,0.41308632,0.8771288,0.062541045,0.060330175,0.0,43.716637,7.106385,0.19118294,0.71720195,0.091615126,0.0,53.240593,66.45099
59,1.0,0.35324463,0.88656676,0.03693563,0.07649762,0.0,48.60598,10.700521,0.17764036,0.6663984,0.1559612,0.0,56.188805,67.94566
60,1.0,0.99296176,0.60386467,0.1606058,0.2355295,0.0,73.03826,12.610277,0.19333585,0.7252783,0.08138581,0.0,55.508263,76.89208
61,1.0,0.82524186,0.857893,0.0975549,0.04455211,0.0,44.442192,5.14898,0.1750142,0.65654665,0.16843912,0.0,65.06249,61.14953
62,1.0,0.6708814,0.9272161,0.027680755,0.04510314,0.0,45.585136,17.09894,0.1741298,0.65322894,0.17264126,0.0,71.31667,63.381985
63,1.0,0.6099933,0.79959464,0.017641757,0.18276362,0.0,63.79525,11.097906,0.18015441,0.67582965,0.14401597,0.0,63.176598,62.231876
64,1.0,1.4648502,0.7135905,0.14321676,0.14319274,0.0,59.738823,9.835741,0.17171091,0.6441547,0.1841344,0.0,64.450066,65.81934
65,1.0,0.9757973,0.8122568,0.12818937,0.059553847,0.0,45.67974,6.752391,0.19817433,0.74342936,0.0583963,0.0,45.320183,67.93675
66,1.0,1.1067846,0.7344643,0.16006309,0.1054726,0.0,56.305748,6.810203,0.192626,0.7226154,0.08475857,0.0,56.458946,61.95702
67,1.0,0.8439771,0.83216166,0.008393268,0.15944505,0.0,60.44323,8.012551,0.18272229,0.6854627,0.13181499,0.0,65.786674,63.128536
68,1.0,0.5388374,0.88726884,0.06284586,0.04988532,0.0,40.729332,7.395691,0.18088958,0.6785875,0.14052291,0.0,68.42794,75.41005
69,1.0,0.47663856,0.86231047,0.025745446,0.111944094,0.0,58.676537,14.50627,0.19104153,0.71667147,0.09228699,0.0,60.408745,65.29728
70,1.0,0.49193367,0.7965487,0.061780177,0.1416711,0.0,65.8395,8.304185,0.19833958,0.7440493,0.057611104,0.0,43.889183,66.73868
71,1.0,0.31456116,0.8990075,0.034826644,0.06616585,0.0,48.173332,14.98611,0.17970917,0.67415935,0.14613147,0.0,60.80584,62.911346
72,1.0,0.57512236,0.8484395,0.07076316,0.08079729,0.0,45.773125,13.547867,0.1861553,0.6983413,0.115503386,0.0,50.77236,65.45242
73,1.0,0.2606063,0.93765706,0.007575844,0.054767087,0.0,43.13836,7.631445,0.18216543,0.68337375,0.13446082,0.0,62.612785,72.52033
74,1.0,0.7446122,0.8172204,0.02391283,0.15886676,0.0,64.868126,9.9555235,0.18898603,0.7089605,0.10205346,0.0,60.55773,66.89076
75,1.0,1.227178,0.74950004,0.100257054,0.1502429,0.0,64.3738,9.44472,0.17141673,0.64305115,0.1855321,0.0,61.29177,61.17144
76,1.0,1.1801664,0.7001017,0.22495492,0.07494341,0.0,47.38421,13.629974,0.20013577,0.7507875,0.049076732,0.0,46.030205,79.92895
77,1.0,0.46653652,0.93224245,0.0039103795,0.06384719,0.0,49.755424,18.533478,0.19689327,0.7386236,0.06448309,0.0,51.043236,75.4787
78,1.0,0.29398808,0.9013139,0.00975313,0.08893299,0.0,50.50512,5.490889,0.19007613,0.7130498,0.09687403,0.0,58.25518,67.3103
79,1.0,1.0512886,0.78388363,0.05783623,0.15828013,0.0,60.545006,6.7790575,0.2001096,0.7506893,0.0492011,0.0,43.415306,77.587524
80,1.0,0.39915168,0.8947889,0.030810323,0.07440073,0.0,55.4833,12.478216,0.18132131,0.68020713,0.13847156,0.0,67.32641,75.28225
81,1.0,0.60446686,0.9077806,0.02534643,0.06687298,0.0,52.303825,6.476472,0.17606266,0.66047984,0.16345747,0.0,67.88137,66.457794
82,1.0,0.9831434,0.8287831,0.07746279,0.09375412,0.0,50.55419,21.036194,0.16014603,0.60077035,0.23908359,0.0,64.998405,60.54755
83,1.0,0.81663626,0.8756218,0.02725572,0.09712248,0.0,58.034813,8.427175,0.19145967,0.71824,0.090300284,0.0,46.629112,72.93256
84,1.0,1.160292,0.7591877,0.13387713,0.10693514,0.0,65.1307,4.8716555,0.19593903,0.73504394,0.06901705,0.0,48.356255,73.2023
85,1.0,0.35613433,0.8821486,0.0025829673,0.115268424,0.0,64.07195,18.205154,0.19825186,0.7437202,0.05802794,0.0,47.907677,62.221584
86,1.0,0.7051724,0.88880503,0.030815346,0.08037964,0.0,55.314293,10.867615,0.17562647,0.6588435,0.16553001,0.0,65.06463,77.13818
87,1.0,0.9413989,0.7752188,0.1769631,0.047818128,0.0,42.361107,12.760008,0.19305882,0.7242391,0.08270208,0.0,52.61724,76.34428
88,1.0,1.1744295,0.85518163,0.051736053,0.09308232,0.0,51.1791,12.121101,0.20019984,0.7510279,0.048772264,0.0,43.772453,70.39549
89,1.0,0.33761284,0.878524,0.032861955,0.08861402,0.0,47.317284,11.308609,0.18595801,0.6976012,0.11644076,0.0,53.07894,76.75231
90,1.0,0.5513702,0.83528155,0.10055525,0.06416321,0.0,46.702415,6.5593085,0.19834755,0.7440792,0.05757326,0.0,49.957634,61.46088
91,1.0,0.89677525,0.76568687,0.036264222,0.1980489,0.0,66.94985,8.694175,0.1864861,0.6995822,0.113931686,0.0,49.080437,73.69932
92,1.0,1.3256094,0.79688996,0.054713037,0.14839697,0.0,63.45916,13.10243,0.18605198,0.6979537,0.1159943,0.0,64.90148,79.11912
93,1.0,0.52057135,0.93313944,0.022630425,0.044230126,0.0,46.91967,6.601731,0.19791071,0.7424404,0.05964887,0.0,47.73226,75.90313
94,1.0,1.6507969,0.636035,0.19305286,0.17091215,0.0,64.15124,10.991368,0.171058,0.64170545,0.18723656,0.0,73.797966,60.437244
95,1.0,0.40270302,0.9366674,0.006579293,0.05675334,0.0,40.429863,8.360205,0.18793647,0.70502317,0.10704035,0.0,54.39727,73.41043
96,1.0,0.334844,0.85872525,0.06737936,0.0738954,0.0,51.92623,8.178792,0.20030904,0.7514375,0.048253454,0.0,43.140038,65.11352
97,1.0,1.0695342,0.82985556,0.056415886,0.11372854,0.0,60.32067,9.098604,0.20066468,0.7527717,0.04656364,0.0,34.261253,69.79183
98,1.0,2.622169,0.7147408,0.2043527,0.0809065,0.0,48.823936,10.840427,0.18972607,0.7117367,0.09853725,0.0,60.65667,67.48023
99,1.0,0.35773945,0.8721454,0.0360421,0.0918125,0.0,52.78338,11.86553,0.18346162,0.68823624,0.12830213,0.0,62.37298,66.79477
100,1.0,0.56226325,0.8999129,0.0053223213,0.0947648,0.0,61.84011,7.6949224,0.19505556,0.7317296,0.073214784,0.0,43.560814,70.98617
101,1.0,0.46931753,0.8797373,0.012042262,0.10822042,0.0,63.38601,8.579101,0.16319266,0.6121994,0.22460791,0.0,66.60027,77.37624
102,1.0,0.35202593,0.8869327,0.014918821,0.098148495,0.0,52.138084,5.9256115,0.17809644,0.66810936,0.15379418,0.0,66.26415,60.877556
103,1.0,0.675566,0.8022081,0.0811164,0.11667547,0.0,65.96493,6.062526,0.18109435,0.6793557,0.13954996,0.0,52.777702,64.19153
104,1.0,1.1046771,0.69724727,0.18165404,0.121098705,0.0,60.015648,13.763535,0.1876278,0.70386523,0.10850696,0.0,52.022545,73.39869
105,1.0,0.36655825,0.8947807,1.2325008E-4,0.105096065,0.0,54.927513,5.0526476,0.19047083,0.7145305,0.09499861,0.0,51.09368,64.46232
106,1.0,1.7842386,0.75905865,0.17454284,0.06639852,0.0,48.866417,10.227683,0.1678413,0.6296384,0.20252034,0.0,64.189964,65.42648
107,1.0,0.8878444,0.7123419,0.19381376,0.09384436,0.0,49.846306,14.721004,0.17697714,0.66391045,0.15911242,0.0,60.579247,73.26844
108,1.0,0.42658147,0.82141685,0.005916127,0.172667,0.0,66.12423,9.135463,0.18882766,0.7083664,0.102805935,0.0,50.750237,75.680435
109,1.0,0.86771786,0.8124048,0.042578086,0.14501712,0.0,59.296257,12.28943,0.18725286,0.7024587,0.11028843,0.0,54.281273,70.3017
110,1.0,1.6386935,0.7774271,0.16372424,0.058848705,0.0,51.55355,15.545659,0.16388437,0.6147943,0.22132131,0.0,63.210686,77.541885
111,2.0,0.97553927,0.83126545,0.05311287,0.11562168,0.0,62.987846,20.780104,0.1925377,0.7222842,0.08517813,0.0,51.833458,79.51402
112,2.0,2.1107798,0.80123055,0.120087795,0.07868164,0.0,58.684715,12.268831,0.15894036,0.59624743,0.24481222,0.0,70.75277,94.16496
113,2.0,2.501846,0.784369,0.14989544,0.065735556,0.0,49.727165,16.02857,0.20482542,0.76838017,0.026794393,0.0,32.779686,78.18249
114,2.0,0.76376575,0.92543036,0.0098150205,0.06475462,0.0,52.7228,13.895124,0.19477308,0.73067,0.07455695,0.0,52.003624,89.6331
115,2.0,0.82398564,0.92139393,0.0020854087,0.07652068,0.0,56.073235,17.680237,0.18580317,0.69702035,0.117176466,0.0,56.777,85.27373
116,2.0,1.351002,0.7712887,0.10183472,0.12687658,0.0,59.812004,10.746962,0.19679567,0.73825747,0.064946845,0.0,41.77984,84.37643
117,2.0,0.8154437,0.903346,0.0021488855,0.0945051,0.0,55.492577,25.441332,0.19036293,0.71412575,0.09551134,0.0,57.74111,79.4102
118,2.0,2.1061676,0.7022207,0.15917091,0.13860838,0.0,70.10967,16.65049,0.18803862,0.7054063,0.10655506,0.0,61.793907,78.93937
119,2.0,2.7017934,0.87865275,0.04651302,0.07483422,0.0,50.982903,24.473314,0.19221057,0.72105694,0.086732484,0.0,55.748344,91.70731
120,2.0,0.6549558,0.90505975,0.009178971,0.08576128,0.0,52.378197,24.887283,0.19945472,0.74823266,0.052312627,0.0,45.720543,89.109146
121,2.0,1.547047,0.8444509,0.04732458,0.108224526,0.0,56.499596,29.989113,0.16725394,0.6274349,0.20531112,0.0,65.58489,84.96919
122,2.0,0.94605106,0.89203215,0.02946901,0.07849882,0.0,52.126457,30.006489,0.1961091,0.7356819,0.068209015,0.0,50.26754,83.753944
123,2.0,1.5840604,0.7974821,0.02393952,0.17857838,0.0,67.14361,42.879765,0.17475066,0.65555805,0.1696913,0.0,64.985405,93.032425
124,2.0,2.122732,0.87936157,0.03575571,0.08488271,0.0,58.586815,23.010544,0.19099547,0.7164987,0.09250586,0.0,57.453423,82.885254
125,2.0,5.5860286,0.6254881,0.21839964,0.15611227,0.0,61.651512,19.627665,0.17503582,0.6566278,0.16833642,0.0,64.97115,76.67019
126,2.0,1.3220091,0.83994126,0.09749052,0.06256819,0.0,49.45394,35.10728,0.15138648,0.56790984,0.28070366,0.0,72.98946,83.87151
127,2.0,5.1787744,0.6621507,0.1688888,0.16896053,0.0,65.746574,25.923279,0.18595132,0.6975761,0.116472565,0.0,50.53585,79.7469
128,2.0,3.8758354,0.8139539,0.0859349,0.10011121,0.0,62.62371,12.777359,0.19310455,0.72441065,0.08248482,0.0,55.460808,82.244965
129,2.0,1.3733263,0.8663846,0.09234265,0.04127274,0.0,45.56414,14.463108,0.19532627,0.7327452,0.07192852,0.0,52.710777,86.20136
130,2.0,2.0216398,0.73039085,0.17535901,0.09425013,0.0,61.044518,14.805887,0.17150691,0.64338946,0.18510363,0.0,64.302635,80.9234
131,2.0,2.8685484,0.68307614,0.20968027,0.10724357,0.0,54.54885,39.232243,0.18479748,0.69324756,0.121954955,0.0,51.567894,88.01037
132,2.0,0.79928726,0.8507897,0.012202389,0.13700788,0.0,63.490135,16.03092,0.20019962,0.75102705,0.04877335,0.0,41.830894,92.181755
133,2.0,2.2141223,0.8477119,0.0079558445,0.14433222,0.0,63.839165,32.6113,0.19639279,0.73674613,0.06686111,0.0,52.539635,75.786606
134,2.0,1.2275914,0.84887487,0.10004613,0.05107898,0.0,47.4197,21.194895,0.20063613,0.75266457,0.046699326,0.0,44.437767,87.18125
135,2.0,1.1121452,0.84021515,0.026490506,0.13329437,0.0,59.734215,12.236373,0.19681552,0.7383319,0.064852536,0.0,44.458275,93.56013
136,2.0,1.9556941,0.89980924,0.009576428,0.09061432,0.0,59.932457,16.41151,0.13943623,0.5230798,0.33748394,0.0,75.31295,89.58968
137,2.0,1.2428051,0.85053694,0.010442193,0.13902086,0.0,59.239616,45.933125,0.19196224,0.72012544,0.087912336,0.0,56.440147,74.519165
138,2.0,0.55103374,0.9304997,0.025399495,0.04410086,0.0,42.928185,27.761059,0.1682876,0.63131255,0.20039983,0.0,68.57928,87.86678
139,2.0,4.4056964,0.7505332,0.17707236,0.07239442,0.0,49.84771,49.77365,0.1741211,0.6531963,0.17268261,0.0,68.62948,79.39667
140,2.0,2.6649687,0.8112842,0.07379746,0.11491837,0.0,60.611748,32.73992,0.1858011,0.69701254,0.117186345,0.0,50.952385,84.85276
141,2.0,0.53754646,0.94203043,0.011201771,0.04676777,0.0,45.385918,23.86319,0.18138216,0.6804354,0.13818242,0.0,65.1094,84.78569
142,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
143,2.0,6.016809,0.6964219,0.27567914,0.027898917,0.0,37.83996,27.955055,0.17538235,0.6579277,0.16668995,0.0,60.715263,77.45413
144,2.0,0.9129925,0.8434544,0.08841364,0.06813194,0.0,52.256767,15.135958,0.16847418,0.6320125,0.19951332,0.0,65.837944,88.18079
145,2.0,1.4721899,0.78643644,0.07195638,0.1416072,0.0,58.08947,25.033155,0.19220531,0.72103727,0.08675743,0.0,56.551598,85.58816
146,2.0,1.4781734,0.8644687,0.003802981,0.13172829,0.0,62.797234,36.693928,0.19120835,0.71729726,0.09149439,0.0,55.605156,84.479004
147,2.0,1.1352971,0.8969148,0.061107922,0.041977305,0.0,44.880302,46.80799,0.18487357,0.693533,0.12159345,0.0,61.85418,89.0791
148,2.0,0.91008246,0.8424208,0.029168747,0.12841043,0.0,59.40316,19.347933,0.17951447,0.67342895,0.14705661,0.0,65.99459,79.77113
149,2.0,1.8774399,0.87782407,0.04942235,0.07275359,0.0,47.853996,18.95372,0.20339552,0.7630161,0.033588372,0.0,37.90612,88.18958
150,2.0,2.1643558,0.72799325,0.09936405,0.1726427,0.0,63.074303,15.00022,0.18786559,0.7047572,0.10737718,0.0,54.72262,76.54975
151,2.0,0.6599375,0.8827749,0.045334876,0.071890235,0.0,54.046867,34.66157,0.18165292,0.6814511,0.13689601,0.0,55.67022,80.58649
152,2.0,0.8096422,0.83538336,0.0039179977,0.16069865,0.0,67.435356,26.406788,0.17278886,0.64819854,0.17901263,0.0,64.89977,80.544044
153,2.0,1.5823594,0.7918202,0.11989114,0.08828865,0.0,60.794,22.674484,0.16920173,0.63474184,0.19605646,0.0,71.93554,79.67716
154,2.0,1.1993344,0.8519284,0.0031989603,0.1448726,0.0,70.41122,36.95045,0.19412827,0.72825104,0.07762066,0.0,53.99221,91.979515
155,2.0,1.0001824,0.88577545,0.043854073,0.07037047,0.0,50.666405,27.312185,0.19822715,0.7436275,0.058145348,0.0,39.70809,88.827896
156,2.0,1.9218936,0.84804446,0.02615017,0.12580535,0.0,65.07058,32.807518,0.16762504,0.62882704,0.20354791,0.0,73.41119,88.612526
157,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158,2.0,0.9401813,0.8726413,0.021213405,0.106145285,0.0,61.94213,14.938689,0.18575685,0.69684654,0.11739658,0.0,53.646294,74.24862
159,2.0,4.3760324,0.67912984,0.24444847,0.076421715,0.0,57.174095,20.978338,0.15485866,0.58093536,0.26420596,0.0,70.34173,92.15515
160,2.0,1.1455941,0.87643504,0.026161727,0.09740325,0.0,49.664513,32.810135,0.16971028,0.6366496,0.19364013,0.0,62.534386,80.91452
161,2.0,4.7779617,0.78631175,0.15876299,0.054925267,0.0,50.06942,27.70739,0.19383723,0.7271592,0.07900357,0.0,54.11657,79.16029
162,2.0,1.566515,0.83327836,0.09443466,0.07228699,0.0,43.430687,39.66968,0.17916378,0.67211336,0.14872287,0.0,65.56289,80.27643
163,2.0,1.7754052,0.8866818,0.016975833,0.096342385,0.0,52.807854,42.892956,0.18724781,0.7024397,0.11031244,0.0,51.884697,75.17047
164,2.0,0.7758814,0.93856287,0.013037887,0.048399262,0.0,47.248924,38.87316,0.17571405,0.65917206,0.16511387,0.0,70.07647,76.33639
165,2.0,1.8704755,0.71101135,0.089280054,0.19970863,0.0,65.947105,34.028343,0.18353878,0.6885257,0.12793553,0.0,61.273705,75.8472
166,2.0,1.0424875,0.8846918,0.03402406,0.081284165,0.0,53.442314,42.31595,0.17946365,0.6732383,0.14729807,0.0,64.96697,90.60627
167,2.0,1.5790046,0.9164074,0.018673154,0.064919464,0.0,48.730095,24.340229,0.17448948,0.6545782,0.1709323,0.0,60.549583,89.01596
168,2.0,1.0327835,0.87756956,0.06257248,0.059857942,0.0,43.715263,17.77787,0.19138621,0.7179645,0.090649284,0.0,53.234367,80.40398
169,2.0,0.8831105,0.8872394,0.036963653,0.07579693,0.0,48.60601,26.751032,0.17865872,0.6702187,0.15112257,0.0,56.18902,81.8982
170,2.0,2.4824092,0.60614395,0.16121201,0.23264402,0.0,73.0382,31.525661,0.19355199,0.7260891,0.08035887,0.0,55.508293,90.84474
171,2.0,2.0631077,0.85822195,0.0975923,0.044185735,0.0,44.44216,12.873668,0.1752809,0.6575472,0.16717191,0.0,65.060356,75.10206
172,2.0,1.6772034,0.92762417,0.027692936,0.04468292,0.0,45.585136,42.747375,0.1749307,0.6562335,0.16883583,0.0,71.31664,77.334984
173,2.0,1.5247934,0.8020535,0.017696008,0.18025048,0.0,63.800346,27.758217,0.1806249,0.67759466,0.14178047,0.0,63.16558,76.18463
174,2.0,3.6621168,0.7152243,0.14354466,0.14123102,0.0,59.738914,24.589363,0.17261766,0.6475563,0.17982605,0.0,64.450066,79.77192
175,2.0,2.4396636,0.8127578,0.12826844,0.058973774,0.0,45.67904,16.88124,0.19829682,0.74388885,0.05781432,0.0,45.32702,81.889854
176,2.0,2.7666597,0.7355037,0.1602896,0.1042067,0.0,56.30874,17.022554,0.19274358,0.72305655,0.084199876,0.0,56.453697,75.909676
177,2.0,2.1100037,0.8355597,0.008427542,0.15601271,0.0,60.444664,20.02846,0.18293443,0.68625855,0.130807,0.0,65.78234,77.08128
178,2.0,1.3471901,0.887811,0.06288426,0.049304742,0.0,40.72869,18.487057,0.18107876,0.6792972,0.13962404,0.0,68.42846,89.36311
